code,direct,opentime,openprice,closetime,closeprice,qty,profit,maxprofit,maxloss,totalprofit,entertag,exittag,openbarno,closebarno
DCE.y.HOT,LONG,202109241440,9210,202109271110,9180,1,-300,440,-580,-28.67,,,1075,1126
DCE.m.HOT,LONG,202109242135,3505,202109271115,3534,1,290,340,-180,260.12,,,1086,1127
DCE.y.HOT,LONG,202109241500,9220,202109271125,9188,1,-320,340,-680,-66.41,,,1079,1129
DCE.cs.HOT,SHORT,202109241430,2919,202109271125,2949,1,-300,240,-390,-367.92,,,1073,1129
DCE.y.HOT,LONG,202109242120,9186,202109271335,9176,1,-100,680,-340,-471.94,,,1083,1131
DCE.y.HOT,LONG,202109271010,9186,202109271335,9176,1,-100,680,-200,-571.94,,,1117,1131
DCE.cs.HOT,SHORT,202109242225,2905,202109271345,2943,1,-380,10,-530,-956.96,,,1096,1133
DCE.m.HOT,LONG,202109242205,3503,202109271350,3527,1,240,360,-160,-716.96,,,1092,1134
DCE.y.HOT,LONG,202109271105,9186,202109271350,9192,1,60,120,-200,-656.96,,,1125,1134
DCE.m.HOT,LONG,202109270915,3509,202109271405,3523,1,140,300,-40,-522.49,,,1106,1137
DCE.cs.HOT,SHORT,202109270935,2921,202109271405,2944,1,-230,50,-370,-752.49,,,1110,1137
DCE.y.HOT,LONG,202109271115,9192,202109271415,9188,1,-40,160,-260,-794,,,1127,1139
DCE.cs.HOT,SHORT,202109270945,2922,202109271420,2949,1,-270,50,-360,-1065.51,,,1112,1140
DCE.y.HOT,LONG,202109271130,9172,202109271435,9146,1,-260,360,-300,-1329.53,,,1130,1143
DCE.cs.HOT,SHORT,202109271005,2928,202109271455,2948,1,-200,0,-300,-1532.04,,,1116,1147
DCE.cs.HOT,SHORT,202109271130,2945,202109272120,2941,1,40,70,-80,-1495.06,,,1130,1152
DCE.y.HOT,LONG,202109271340,9180,202109272125,9054,1,-1260,280,-1340,-2757.57,,,1132,1153
DCE.c.HOT,LONG,202109270950,2479,202109272140,2482,1,30,120,-20,-2732.8,,,1113,1156
DCE.cs.HOT,SHORT,202109271350,2944,202109272140,2942,1,20,70,-90,-2714.31,,,1134,1156
DCE.y.HOT,LONG,202109271340,9180,202109272150,9052,1,-1280,560,-2680,-3998.03,,,1132,1158
DCE.c.HOT,LONG,202109271005,2480,202109272150,2483,1,30,110,-20,-3969.24,,,1116,1158
DCE.cs.HOT,SHORT,202109271415,2949,202109272155,2941,1,80,120,-40,-3895.98,,,1139,1159
DCE.cs.HOT,SHORT,202109271425,2947,202109272155,2941,1,60,100,-60,-3837.49,,,1141,1159
DCE.c.HOT,LONG,202109271035,2481,202109272220,2483,1,20,100,-20,-3821.72,,,1119,1164
DCE.m.HOT,LONG,202109271015,3532,202109272230,3542,1,100,140,-180,-3724.44,,,1118,1166
DCE.cs.HOT,SHORT,202109271500,2946,202109272240,2951,1,-50,90,-70,-3777.46,,,1148,1168
DCE.m.HOT,LONG,202109271045,3532,202109272245,3540,1,80,140,-180,-3698.97,,,1121,1169
DCE.y.HOT,LONG,202109271355,9190,202109272250,9050,1,-1400,180,-1660,-5102.99,,,1135,1170
DCE.m.HOT,LONG,202109271120,3534,202109272255,3543,1,90,120,-200,-5016.01,,,1128,1171
DCE.c.HOT,LONG,202109271050,2487,202109272255,2487,1,0,40,-80,-5019.73,,,1122,1171
DCE.y.HOT,LONG,202109271425,9164,202109272300,9056,1,-1080,60,-1400,-6103.75,,,1141,1172
DCE.y.HOT,LONG,202109271440,9146,202109280910,9034,1,-1120,80,-1220,-7229.98,,,1144,1174
DCE.c.HOT,LONG,202109271110,2483,202109280915,2487,1,40,120,-40,-7193.7,,,1126,1175
DCE.y.HOT,LONG,202109272130,9046,202109280925,9004,1,-420,540,-440,-7614.91,,,1154,1177
DCE.c.HOT,LONG,202109272145,2483,202109280935,2476,1,-70,120,-70,-7687.42,,,1157,1179
DCE.c.HOT,LONG,202109272155,2485,202109280945,2478,1,-70,100,-120,-7758.63,,,1159,1181
DCE.cs.HOT,SHORT,202109272130,2938,202109281000,2964,1,-260,10,-340,-8019.84,,,1154,1184
DCE.c.HOT,LONG,202109272225,2484,202109281005,2475,1,-90,110,-110,-8109.84,,,1165,1185
DCE.m.HOT,LONG,202109271355,3526,202109281010,3503,1,-230,200,-260,-8342.86,,,1135,1186
DCE.cs.HOT,SHORT,202109272150,2944,202109281010,2965,1,-210,40,-280,-8554.07,,,1158,1186
DCE.cs.HOT,SHORT,202109272200,2942,202109281035,2964,1,-220,0,-300,-8777.09,,,1160,1188
DCE.y.HOT,LONG,202109272155,9048,202109281050,8954,1,-940,520,-1020,-9718.6,,,1159,1191
DCE.cs.HOT,SHORT,202109272200,2942,202109281050,2962,1,-200,0,-600,-9918.6,,,1160,1191
DCE.c.HOT,LONG,202109272300,2486,202109281055,2477,1,-90,90,-130,-10011.1,,,1172,1192
DCE.cs.HOT,SHORT,202109272250,2949,202109281100,2965,1,-160,0,-230,-10172.6,,,1170,1193
DCE.y.HOT,LONG,202109272255,9060,202109281110,8912,1,-1480,0,-1500,-11654.1,,,1171,1195
DCE.cs.HOT,SHORT,202109281005,2961,202109281110,2969,1,-80,10,-90,-11734.1,,,1185,1195
DCE.m.HOT,LONG,202109271410,3519,202109281120,3500,1,-190,270,-210,-11930.9,,,1138,1197
DCE.m.HOT,LONG,202109272235,3539,202109281335,3508,1,-310,70,-410,-12242.4,,,1167,1200
DCE.m.HOT,LONG,202109272250,3540,202109281345,3501,1,-390,60,-420,-12633.9,,,1170,1202
DCE.y.HOT,LONG,202109280905,9042,202109281345,9052,1,100,180,-1320,-12533.9,,,1173,1202
DCE.c.HOT,LONG,202109280920,2483,202109281355,2479,1,-40,10,-100,-12577.9,,,1176,1204
DCE.y.HOT,LONG,202109280915,9032,202109281410,9132,1,1000,1160,-1220,-11579.1,,,1175,1207
DCE.c.HOT,LONG,202109280940,2477,202109281410,2475,1,-20,60,-40,-11599.1,,,1180,1207
DCE.c.HOT,LONG,202109280950,2475,202109281430,2474,1,-10,80,-50,-11612.8,,,1182,1211
DCE.cs.HOT,SHORT,202109281015,2965,202109281430,2961,1,40,70,-50,-11572.8,,,1187,1211
DCE.y.HOT,LONG,202109280930,9010,202109281435,9178,1,1680,1720,-1000,-9892.84,,,1178,1212
DCE.m.HOT,LONG,202109272300,3544,202109281440,3491,1,-530,0,-540,-10424,,,1172,1213
DCE.c.HOT,LONG,202109281010,2479,202109281445,2474,1,-50,40,-90,-10478.1,,,1186,1214
DCE.c.HOT,LONG,202109281115,2476,202109281500,2471,1,-50,70,-70,-10530.8,,,1196,1217
DCE.m.HOT,LONG,202109281035,3503,202109282115,3494,1,-90,110,-150,-10623.5,,,1188,1220
DCE.c.HOT,LONG,202109281400,2477,202109282130,2476,1,-10,30,-80,-10636.2,,,1205,1223
DCE.cs.HOT,SHORT,202109281040,2966,202109282150,2977,1,-110,100,-260,-10749,,,1189,1227
