code,target,sigprice,gentime,usertag
DCE.m.HOT,5,3474,20210903230000000,
DCE.c.HOT,4,2464,20210906094000000,
DCE.y.HOT,4,9116,20210906094000000,
DCE.c.HOT,5,2466,20210906094500000,
DCE.y.HOT,5,9112,20210906094500000,
DCE.y.HOT,4,9114,20210906095500000,
DCE.y.HOT,5,9112,20210906100000000,
DCE.c.HOT,4,2469,20210906101000000,
DCE.m.HOT,4,3467,20210906101500000,
DCE.c.HOT,5,2465,20210906103500000,
DCE.m.HOT,5,3472,20210906103500000,
DCE.cs.HOT,-4,2877,20210906104000000,
DCE.y.HOT,4,9112,20210906104000000,
DCE.cs.HOT,-5,2879,20210906104500000,
DCE.y.HOT,5,9110,20210906104500000,
DCE.c.HOT,4,2463,20210906112500000,
DCE.c.HOT,5,2463,20210906113000000,
DCE.c.HOT,4,2463,20210906133500000,
DCE.c.HOT,5,2463,20210906134000000,
DCE.m.HOT,4,3486,20210906141000000,
DCE.c.HOT,4,2460,20210906141500000,
DCE.cs.HOT,-4,2869,20210906141500000,
DCE.m.HOT,5,3485,20210906141500000,
DCE.c.HOT,5,2463,20210906142000000,
DCE.cs.HOT,-5,2876,20210906142000000,
DCE.y.HOT,4,9170,20210906142000000,
DCE.y.HOT,5,9194,20210906142500000,
DCE.cs.HOT,-4,2873,20210906143500000,
DCE.cs.HOT,-5,2873,20210906144000000,
DCE.m.HOT,4,3484,20210906144000000,
DCE.m.HOT,5,3484,20210906145000000,
DCE.c.HOT,4,2462,20210906145500000,
DCE.c.HOT,5,2461,20210906150000000,
DCE.cs.HOT,-4,2866,20210906150000000,
DCE.cs.HOT,-5,2867,20210906210500000,
DCE.m.HOT,4,3484,20210906211000000,
DCE.cs.HOT,-4,2878,20210906211500000,
DCE.m.HOT,5,3486,20210906211500000,
DCE.cs.HOT,-5,2883,20210906212000000,
DCE.m.HOT,4,3486,20210906212500000,
DCE.m.HOT,5,3488,20210906213000000,
DCE.y.HOT,4,9146,20210906213000000,
DCE.y.HOT,5,9138,20210906213500000,
DCE.c.HOT,4,2464,20210906214000000,
DCE.c.HOT,5,2466,20210906214500000,
DCE.c.HOT,4,2462,20210906222500000,
DCE.cs.HOT,-4,2890,20210906222500000,
DCE.y.HOT,4,9174,20210906223000000,
DCE.c.HOT,5,2460,20210906223500000,
DCE.cs.HOT,-5,2889,20210906223500000,
DCE.y.HOT,5,9146,20210906224000000,
DCE.y.HOT,4,9142,20210906224500000,
DCE.m.HOT,4,3496,20210906225000000,
DCE.y.HOT,5,9150,20210906225000000,
DCE.m.HOT,5,3499,20210906225500000,
DCE.c.HOT,4,2463,20210907090500000,
DCE.m.HOT,4,3490,20210907090500000,
DCE.c.HOT,5,2461,20210907091000000,
DCE.m.HOT,5,3483,20210907091000000,
DCE.m.HOT,4,3488,20210907091500000,
DCE.cs.HOT,-4,2878,20210907092000000,
DCE.m.HOT,5,3488,20210907092000000,
DCE.y.HOT,4,9138,20210907092000000,
DCE.y.HOT,5,9146,20210907092500000,
DCE.cs.HOT,-5,2879,20210907093000000,
DCE.m.HOT,4,3501,20210907093000000,
DCE.y.HOT,4,9162,20210907093000000,
DCE.m.HOT,5,3500,20210907093500000,
DCE.y.HOT,5,9156,20210907093500000,
DCE.cs.HOT,-4,2878,20210907095000000,
DCE.cs.HOT,-5,2876,20210907095500000,
DCE.c.HOT,4,2465,20210907100500000,
DCE.cs.HOT,-4,2872,20210907100500000,
DCE.c.HOT,5,2464,20210907101000000,
DCE.cs.HOT,-5,2871,20210907101000000,
DCE.c.HOT,4,2465,20210907103500000,
DCE.c.HOT,5,2465,20210907104000000,
DCE.y.HOT,4,9146,20210907104000000,
DCE.y.HOT,5,9146,20210907104500000,
DCE.c.HOT,4,2461,20210907110000000,
DCE.c.HOT,5,2462,20210907110500000,
DCE.y.HOT,4,9152,20210907110500000,
DCE.y.HOT,5,9156,20210907111000000,
DCE.m.HOT,4,3518,20210907112000000,
DCE.y.HOT,4,9174,20210907112000000,
DCE.y.HOT,5,9182,20210907112500000,
