code,time,direct,action,price,qty,tag,fee,barno
DCE.y.HOT,202109031010,LONG,OPEN,8938,1,,2.51,175
DCE.c.HOT,202109031010,LONG,CLOSE,2493,1,,0,175
DCE.y.HOT,202109031035,LONG,CLOSE,9028,1,,0,177
DCE.c.HOT,202109031035,LONG,OPEN,2491,1,,1.21,177
DCE.cs.HOT,202109031035,SHORT,CLOSE,2900,1,,1.51,177
DCE.m.HOT,202109031040,LONG,CLOSE,3493,1,,1.51,178
DCE.y.HOT,202109031040,LONG,OPEN,9094,1,,2.51,178
DCE.cs.HOT,202109031040,SHORT,OPEN,2900,1,,1.51,178
DCE.m.HOT,202109031045,LONG,OPEN,3490,1,,1.51,179
DCE.m.HOT,202109031055,LONG,CLOSE,3488,1,,0,181
DCE.cs.HOT,202109031055,SHORT,CLOSE,2901,1,,0,181
DCE.m.HOT,202109031100,LONG,OPEN,3490,1,,1.51,182
DCE.c.HOT,202109031100,LONG,CLOSE,2490,1,,0,182
DCE.cs.HOT,202109031100,SHORT,OPEN,2902,1,,1.51,182
DCE.c.HOT,202109031105,LONG,OPEN,2490,1,,1.21,183
DCE.cs.HOT,202109031105,SHORT,CLOSE,2900,1,,0,183
DCE.y.HOT,202109031110,LONG,CLOSE,9116,1,,0,184
DCE.cs.HOT,202109031110,SHORT,OPEN,2900,1,,1.51,184
DCE.c.HOT,202109031115,LONG,CLOSE,2487,1,,0,185
DCE.y.HOT,202109031120,LONG,OPEN,9130,1,,2.51,186
DCE.c.HOT,202109031125,LONG,OPEN,2491,1,,1.21,187
DCE.m.HOT,202109031355,LONG,CLOSE,3494,1,,0,193
DCE.y.HOT,202109031355,LONG,CLOSE,9176,1,,0,193
DCE.y.HOT,202109031355,LONG,CLOSE,9176,1,,0,193
DCE.m.HOT,202109031400,LONG,OPEN,3493,1,,1.51,194
DCE.y.HOT,202109031400,LONG,OPEN,9176,2,,5.02,194
DCE.c.HOT,202109031400,LONG,CLOSE,2493,1,,0,194
DCE.y.HOT,202109031405,LONG,CLOSE,9182,1,,0,195
DCE.c.HOT,202109031405,LONG,OPEN,2492,1,,1.21,195
DCE.m.HOT,202109031410,LONG,CLOSE,3491,1,,0,196
DCE.y.HOT,202109031410,LONG,OPEN,9190,1,,2.51,196
DCE.c.HOT,202109031410,LONG,CLOSE,2492,1,,0,196
DCE.m.HOT,202109031415,LONG,OPEN,3491,1,,1.51,197
DCE.c.HOT,202109031415,LONG,OPEN,2494,1,,1.21,197
DCE.cs.HOT,202109031415,SHORT,CLOSE,2906,1,,0,197
DCE.cs.HOT,202109031420,SHORT,OPEN,2905,1,,1.51,198
DCE.y.HOT,202109031425,LONG,CLOSE,9198,1,,0,199
DCE.y.HOT,202109031430,LONG,OPEN,9184,1,,2.51,200
DCE.c.HOT,202109031435,LONG,CLOSE,2490,1,,0,201
DCE.c.HOT,202109031440,LONG,OPEN,2489,1,,1.21,202
DCE.y.HOT,202109031450,LONG,CLOSE,9156,1,,0,204
DCE.y.HOT,202109031455,LONG,OPEN,9134,1,,2.51,205
DCE.y.HOT,202109031500,LONG,CLOSE,9126,1,,0,206
DCE.c.HOT,202109031500,LONG,CLOSE,2492,1,,0,206
DCE.m.HOT,202109032105,LONG,CLOSE,3489,1,,1.51,207
DCE.y.HOT,202109032105,LONG,OPEN,9152,1,,2.51,207
DCE.cs.HOT,202109032105,SHORT,CLOSE,2895,1,,1.51,207
DCE.m.HOT,202109032110,LONG,OPEN,3496,1,,1.51,208
DCE.cs.HOT,202109032110,SHORT,OPEN,2897,1,,1.51,208
DCE.c.HOT,202109032115,LONG,OPEN,2487,1,,1.21,209
DCE.y.HOT,202109032125,LONG,CLOSE,9168,1,,2.51,211
DCE.y.HOT,202109032135,LONG,OPEN,9168,1,,2.51,213
DCE.y.HOT,202109032140,LONG,CLOSE,9170,1,,2.51,214
DCE.y.HOT,202109032145,LONG,OPEN,9188,1,,2.51,215
DCE.y.HOT,202109032200,LONG,CLOSE,9192,1,,2.51,218
DCE.cs.HOT,202109032200,SHORT,CLOSE,2884,1,,1.51,218
DCE.y.HOT,202109032205,LONG,OPEN,9182,1,,2.51,219
DCE.cs.HOT,202109032205,SHORT,OPEN,2881,1,,1.51,219
DCE.m.HOT,202109032210,LONG,CLOSE,3482,1,,1.51,220
DCE.c.HOT,202109032210,LONG,CLOSE,2477,1,,1.21,220
DCE.m.HOT,202109032215,LONG,OPEN,3475,1,,1.51,221
DCE.c.HOT,202109032215,LONG,OPEN,2476,1,,1.21,221
DCE.c.HOT,202109032225,LONG,CLOSE,2480,1,,1.21,223
DCE.c.HOT,202109032230,LONG,OPEN,2480,1,,1.21,224
DCE.y.HOT,202109032235,LONG,CLOSE,9142,1,,2.51,225
DCE.m.HOT,202109032240,LONG,CLOSE,3477,1,,1.51,226
DCE.c.HOT,202109032240,LONG,CLOSE,2477,1,,1.21,226
DCE.m.HOT,202109032245,LONG,OPEN,3479,1,,1.51,227
DCE.y.HOT,202109032245,LONG,OPEN,9138,1,,2.51,227
DCE.c.HOT,202109032255,LONG,OPEN,2475,1,,1.21,229
DCE.cs.HOT,202109032300,SHORT,CLOSE,2882,1,,1.51,230
DCE.c.HOT,202109060905,LONG,CLOSE,2473,1,,1.21,231
DCE.cs.HOT,202109060905,SHORT,OPEN,2880,1,,1.51,231
DCE.c.HOT,202109060910,LONG,OPEN,2467,1,,1.21,232
DCE.c.HOT,202109060915,LONG,CLOSE,2463,1,,0,233
DCE.m.HOT,202109060920,LONG,CLOSE,3487,1,,1.51,234
DCE.c.HOT,202109060920,LONG,OPEN,2464,1,,1.21,234
DCE.m.HOT,202109060925,LONG,OPEN,3485,1,,1.51,235
DCE.cs.HOT,202109060925,SHORT,CLOSE,2882,1,,1.51,235
DCE.cs.HOT,202109060930,SHORT,OPEN,2880,1,,1.51,236
DCE.y.HOT,202109060945,LONG,CLOSE,9116,1,,0,239
DCE.cs.HOT,202109060945,SHORT,CLOSE,2874,1,,1.51,239
DCE.y.HOT,202109060950,LONG,OPEN,9110,1,,2.51,240
DCE.m.HOT,202109060955,LONG,CLOSE,3467,1,,1.51,241
DCE.cs.HOT,202109060955,SHORT,OPEN,2878,1,,1.51,241
DCE.m.HOT,202109061000,LONG,OPEN,3466,1,,1.51,242
DCE.c.HOT,202109061005,LONG,CLOSE,2467,1,,0,243
DCE.c.HOT,202109061010,LONG,OPEN,2468,1,,1.21,244
DCE.y.HOT,202109061015,LONG,CLOSE,9108,1,,0,245
DCE.y.HOT,202109061035,LONG,OPEN,9114,1,,2.51,246
DCE.y.HOT,202109061045,LONG,CLOSE,9112,1,,0,248
DCE.y.HOT,202109061050,LONG,OPEN,9110,1,,2.51,249
DCE.c.HOT,202109061050,LONG,CLOSE,2464,1,,0,249
DCE.cs.HOT,202109061050,SHORT,CLOSE,2879,1,,0,249
DCE.c.HOT,202109061055,LONG,OPEN,2465,1,,1.21,250
DCE.cs.HOT,202109061055,SHORT,OPEN,2882,1,,1.51,250
DCE.c.HOT,202109061100,LONG,CLOSE,2464,1,,0,251
DCE.m.HOT,202109061110,LONG,CLOSE,3471,1,,0,253
DCE.c.HOT,202109061115,LONG,OPEN,2463,1,,1.21,254
DCE.m.HOT,202109061120,LONG,OPEN,3469,1,,1.51,255
DCE.y.HOT,202109061120,LONG,CLOSE,9164,1,,0,255
DCE.y.HOT,202109061125,LONG,OPEN,9146,1,,2.51,256
DCE.cs.HOT,202109061125,SHORT,CLOSE,2879,1,,0,256
DCE.m.HOT,202109061130,LONG,CLOSE,3473,1,,0,257
DCE.c.HOT,202109061130,LONG,CLOSE,2463,1,,0,257
DCE.cs.HOT,202109061130,SHORT,OPEN,2876,1,,1.51,257
DCE.c.HOT,202109061335,LONG,OPEN,2462,1,,1.21,258
DCE.y.HOT,202109061340,LONG,CLOSE,9150,1,,0,259
DCE.y.HOT,202109061345,LONG,OPEN,9164,1,,2.51,260
DCE.m.HOT,202109061355,LONG,OPEN,3484,1,,1.51,262
DCE.m.HOT,202109061410,LONG,CLOSE,3489,1,,0,265
DCE.m.HOT,202109061415,LONG,OPEN,3486,1,,1.51,266
DCE.y.HOT,202109061425,LONG,CLOSE,9170,1,,0,268
DCE.y.HOT,202109061430,LONG,OPEN,9194,1,,2.51,269
DCE.cs.HOT,202109061430,SHORT,CLOSE,2873,1,,0,269
DCE.c.HOT,202109061435,LONG,CLOSE,2463,1,,0,270
DCE.cs.HOT,202109061435,SHORT,OPEN,2875,1,,1.51,270
DCE.c.HOT,202109061440,LONG,OPEN,2464,1,,1.21,271
DCE.m.HOT,202109061450,LONG,CLOSE,3484,1,,0,273
DCE.m.HOT,202109061455,LONG,OPEN,3484,1,,1.51,274
DCE.y.HOT,202109062110,LONG,CLOSE,9158,1,,2.51,277
DCE.c.HOT,202109062110,LONG,CLOSE,2457,1,,1.21,277
DCE.y.HOT,202109062115,LONG,OPEN,9162,1,,2.51,278
DCE.c.HOT,202109062115,LONG,OPEN,2461,1,,1.21,278
DCE.cs.HOT,202109062115,SHORT,CLOSE,2876,1,,1.51,278
DCE.c.HOT,202109062120,LONG,CLOSE,2463,1,,1.21,279
DCE.cs.HOT,202109062120,SHORT,OPEN,2877,1,,1.51,279
