code,target,sigprice,gentime,usertag
DCE.cs.HOT,5,2834,20210910225000000,
DCE.m.HOT,-5,3509,20210910225000000,
DCE.cs.HOT,-5,2830,20210910230000000,
DCE.m.HOT,5,3510,20210910230000000,
DCE.y.HOT,-4,8980,20210910230000000,
DCE.c.HOT,3,2460,20210913090500000,
DCE.y.HOT,-5,9076,20210913090500000,
DCE.c.HOT,-5,2456,20210913091000000,
DCE.c.HOT,5,2461,20210913091500000,
DCE.y.HOT,2,9102,20210913091500000,
DCE.y.HOT,5,9096,20210913092000000,
DCE.c.HOT,-4,2462,20210913093000000,
DCE.y.HOT,-5,9078,20210913093000000,
DCE.c.HOT,-5,2460,20210913093500000,
DCE.y.HOT,-3,9068,20210913093500000,
DCE.y.HOT,-5,9048,20210913094000000,
DCE.cs.HOT,1,2835,20210913094500000,
DCE.y.HOT,4,9044,20210913094500000,
DCE.cs.HOT,-4,2836,20210913095000000,
DCE.y.HOT,-4,9038,20210913095000000,
DCE.cs.HOT,5,2838,20210913095500000,
DCE.m.HOT,-5,3528,20210913095500000,
DCE.y.HOT,5,9036,20210913095500000,
DCE.cs.HOT,4,2841,20210913100000000,
DCE.m.HOT,-3,3526,20210913100000000,
DCE.cs.HOT,5,2839,20210913100500000,
DCE.m.HOT,-5,3524,20210913100500000,
DCE.cs.HOT,-4,2842,20210913101000000,
DCE.cs.HOT,-1,2838,20210913101500000,
DCE.cs.HOT,-5,2838,20210913103500000,
DCE.cs.HOT,-1,2840,20210913104000000,
DCE.c.HOT,5,2475,20210913104500000,
DCE.cs.HOT,-5,2844,20210913104500000,
DCE.m.HOT,-4,3528,20210913104500000,
DCE.m.HOT,-5,3531,20210913105000000,
DCE.c.HOT,4,2473,20210913105500000,
DCE.c.HOT,-5,2473,20210913110000000,
DCE.m.HOT,-3,3534,20210913110500000,
DCE.c.HOT,-4,2476,20210913111000000,
DCE.m.HOT,-0,3535,20210913111000000,
DCE.m.HOT,5,3534,20210913111500000,
DCE.c.HOT,2,2477,20210913112000000,
DCE.c.HOT,-5,2477,20210913112500000,
DCE.cs.HOT,-4,2841,20210913113000000,
DCE.c.HOT,5,2479,20210913133500000,
DCE.cs.HOT,-5,2848,20210913134000000,
DCE.c.HOT,3,2481,20210913140000000,
DCE.c.HOT,-5,2480,20210913140500000,
DCE.c.HOT,-4,2477,20210913145500000,
DCE.c.HOT,5,2477,20210913150000000,
DCE.cs.HOT,5,2833,20210913210500000,
DCE.cs.HOT,-3,2822,20210913211000000,
DCE.cs.HOT,-5,2829,20210913211500000,
DCE.y.HOT,-5,8988,20210913212000000,
DCE.y.HOT,-2,8994,20210913212500000,
DCE.cs.HOT,5,2824,20210913213000000,
DCE.m.HOT,-5,3514,20210913213000000,
DCE.y.HOT,0,8986,20210913213000000,
DCE.c.HOT,4,2461,20210913213500000,
DCE.y.HOT,-5,9000,20210913213500000,
DCE.c.HOT,-5,2460,20210913214000000,
DCE.m.HOT,4,3519,20210913214500000,
DCE.y.HOT,-2,8990,20210913214500000,
DCE.c.HOT,5,2457,20210913215000000,
DCE.m.HOT,5,3518,20210913215000000,
DCE.y.HOT,-5,8978,20210913215000000,
DCE.y.HOT,5,8982,20210913220000000,
DCE.y.HOT,3,8966,20210913220500000,
DCE.c.HOT,3,2460,20210913221000000,
DCE.y.HOT,-3,8962,20210913221000000,
DCE.c.HOT,-5,2460,20210913221500000,
DCE.y.HOT,3,8964,20210913221500000,
DCE.y.HOT,-5,8942,20210913222000000,
DCE.c.HOT,-1,2458,20210913222500000,
DCE.c.HOT,-5,2458,20210913223000000,
DCE.cs.HOT,4,2799,20210914091500000,
DCE.cs.HOT,5,2808,20210914092000000,
DCE.cs.HOT,-3,2808,20210914092500000,
DCE.cs.HOT,5,2810,20210914093000000,
